public	_migration_518_done	1	id	integer	f
public	_v8_flag_backup_20260710	1	id	integer	f
public	_v8_flag_backup_20260710	2	organization_id	text	t
public	_v8_flag_backup_20260710	3	module	text	t
public	_v8_flag_backup_20260710	4	original_enabled	integer	t
public	_v8_flag_backup_20260710	5	new_enabled	integer	t
public	_v8_flag_backup_20260710	6	created_at	timestamp with time zone	t
public	_z139_repair_backup_20260710	1	id	integer	f
public	_z139_repair_backup_20260710	2	table_name	text	t
public	_z139_repair_backup_20260710	3	row_id	text	t
public	_z139_repair_backup_20260710	4	column_name	text	t
public	_z139_repair_backup_20260710	5	original_value	text	t
public	_z139_repair_backup_20260710	6	new_value	text	t
public	_z139_repair_backup_20260710	7	created_at	timestamp with time zone	t
public	access_code_usage	1	id	text	f
public	access_code_usage	2	code_id	text	f
public	access_code_usage	3	user_id	text	f
public	access_code_usage	4	used_at	timestamp without time zone	t
public	access_codes	1	id	text	f
public	access_codes	2	organization_id	text	f
public	access_codes	3	code	text	f
public	access_codes	4	created_by	text	t
public	access_codes	5	role	text	t
public	access_codes	6	max_uses	integer	t
public	access_codes	7	current_uses	integer	t
public	access_codes	8	expires_at	timestamp without time zone	t
public	access_codes	9	is_active	integer	t
public	access_codes	10	created_at	timestamp without time zone	t
public	access_codes	11	code_hash	text	t
public	access_codes	12	type	text	t
public	access_codes	13	status	text	t
public	access_codes	14	uses_count	integer	t
public	access_codes	15	target_email	text	t
public	access_codes	16	metadata_json	text	t
public	access_codes	17	created_by_user_id	text	t
public	access_codes	18	created_by_consultant_id	text	t
public	access_codes	19	used_at	timestamp without time zone	t
public	access_codes	20	revoked_at	timestamp without time zone	t
public	access_codes	21	updated_at	timestamp without time zone	t
public	access_requests	1	id	text	f
public	access_requests	2	email	text	f
public	access_requests	3	first_name	text	t
public	access_requests	4	last_name	text	t
public	access_requests	5	phone	text	t
public	access_requests	6	organization_id	text	t
public	access_requests	7	organization_name	text	t
public	access_requests	8	requested_role	text	t
public	access_requests	9	status	text	t
public	access_requests	10	request_type	text	t
public	access_requests	11	metadata	text	t
public	access_requests	12	requested_at	timestamp without time zone	t
public	access_requests	13	reviewed_by	text	t
public	access_requests	14	reviewed_at	timestamp without time zone	t
public	access_requests	15	rejection_reason	text	t
public	account_deletion_request_receipts	1	id	uuid	f
public	account_deletion_request_receipts	2	request_id	text	f
public	account_deletion_request_receipts	3	organization_id	text	f
public	account_deletion_request_receipts	4	user_id	text	f
public	account_deletion_request_receipts	5	event_type	text	f
public	account_deletion_request_receipts	6	request_status	text	f
public	account_deletion_request_receipts	7	scheduled_at	timestamp with time zone	t
public	account_deletion_request_receipts	8	occurred_at	timestamp with time zone	f
public	account_deletion_requests	1	id	text	f
public	account_deletion_requests	2	user_id	text	f
public	account_deletion_requests	3	reason	text	t
public	account_deletion_requests	4	status	text	t
public	account_deletion_requests	5	requested_at	timestamp without time zone	t
public	account_deletion_requests	6	processed_at	timestamp without time zone	t
public	account_deletion_requests	7	processed_by	text	t
public	account_deletion_requests	8	notes	text	t
